Type,Title,Organization,Status,Availability or Year,Geography,Community,Community Type,Best For,Project Stage,Topics,Summary,Why It May Help,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Community Example,"Osceola, Arkansas Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2015,Arkansas,Osceola,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market; Food Education; Healthy Food Access; Action Planning; Economic Development,"In 2015, Osceola, Arkansas used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2016-01/documents/lflp_summary_report_jun2015.pdf,2026-07-18,RERC-CASE-LFLP-OSCEOLA-AR-2015-EPA-SUMMARY-REPORT
Community Example,"Russellville, Arkansas Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2019,Arkansas,Russellville,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Commercial Kitchen; Entrepreneurship,"In 2019, Russellville, Arkansas used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2019-04/documents/lflp5_summary_report.pdf,2026-07-18,RERC-CASE-LFLP-RUSSELLVILLE-AR-2019-EPA-SUMMARY-REPORT
Community Example,"Smart Growth Illustrated: Downtown Brea - Brea, California",EPA Examples of Smart Growth Communities and Projects,Published case study,,California,Brea,town_or_city,Communities looking for comparable examples,Implementation,Smart Growth Illustrated; smart growth principles; built environment; community design; main street revitalization; downtown revitalization; walkability; housing choice,"The city of Brea worked with residents and developers to revive its declining downtown. The result is a walkable, vibrant, mixed-use town center that has become a shopping and entertainment destination and changed the image of this Southern California city.",,,,https://www.epa.gov/smartgrowth/foster-distinctive-communities-downtown-brea-brea-california,2026-07-18,RERC-CASE-SMART-GROWTH-EXAMPLES-SMART-GROWTH-ILLUSTRATED-DOWNTOWN-BREA-BREA-CA
Community Example,"Fresno, California Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2016,California,Fresno,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market; Healthy Food Access; Brownfields Reuse; Action Planning,"In 2016, Fresno, California used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2017-04/documents/lflp_summary_report_update_2016-17.pdf,2026-07-18,RERC-CASE-LFLP-FRESNO-CA-2016-EPA-SUMMARY-REPORT
Community Example,"Guadalupe, California (2022)",Recreation Economy for Rural Communities,Planning assistance example,2022,California,Guadalupe,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; equitable access,"In 2022, Guadalupe, California received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, equitable access. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-GUADALUPE-CA-2022
Community Example,"Kern River Valley, California (2025)",Recreation Economy for Rural Communities,Planning assistance example,2025,California,Kern River Valley,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; riverfront and water access; climate resilience; workforce development; public health; natural resource stewardship,"In 2025, Kern River Valley, California received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, riverfront and water access. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-KERN-RIVER-VALLEY-CA-2025
Community Example,Forest Thinning to Restore Fire Resilience at Lassen Volcanic National Park,U.S. Climate Resilience Toolkit,Published case study,2024,California,Lassen Volcanic National Park,town_or_city,Communities looking for comparable examples,Implementation,Climate Resilience; Wildfire; Forestry; Natural Areas and Wildlife,"To restore forest health and an ecological and climate-adapted fire regime, staff at Lassen Volcanic National Park partnered with the Sierra Nevada Conservancy and Sierra Institute to implement the North Fork Feather River Headwaters Forest Restoration Project beginning in 2019. This project aimed to reduce forest fuel loads within wilderness areas of the North Fork Feather River watershed.",,,,https://toolkit.climate.gov/case-study/forest-thinning-restore-fire-resilience-lassen-volcanic-national-park,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-FOREST-THINNING-TO-RESTORE-FIRE-RESILIENCE-AT-LASSEN-VOLCANIC-NATIONAL-PARK-CA-2024
Community Example,"Los Angeles, California Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2015,California,Los Angeles,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Entrepreneurship; Economic Development,"In 2015, Los Angeles, California used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2016-01/documents/lflp_summary_report_jun2015.pdf,2026-07-18,RERC-CASE-LFLP-LOS-ANGELES-CA-2015-EPA-SUMMARY-REPORT
Community Example,Matching Regional Hiring Trends to Climate Action Plans Creates Training & Career Opportunities,U.S. Climate Resilience Toolkit,Published case study,2025,California,Los Angeles County,county_or_region,Communities looking for comparable examples,Planning,Climate Resilience; Air Quality; Drought; Extreme Heat; Flooding - Coastal; Water Quality; Wildfire; Economy,Long Beach City College took the unusual step of creating a Resilience & Sustainability team within its Workforce and Economic Development Division to better align educational offerings with the water and power resilience needs of cities throughout Los Angeles County.,,,,https://toolkit.climate.gov/case-study/matching-regional-hiring-trends-climate-action-plans-creates-training-career,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-MATCHING-REGIONAL-HIRING-TRENDS-TO-CLIMATE-ACTION-PLANS-CREATES-TRAINING-AND-CAREER-OPPO
Community Example,"Los Angeles, CA Resilience Strategy",U.S. Climate Resilience Toolkit,Published case study,2024,California,Los Angeles Resilience Strategy,town_or_city,Communities looking for comparable examples,Planning,Climate Resilience; Drought; Extreme Cold; Extreme Heat; Flooding - Coastal; Flooding - General; Landslides; Wildfire,"Building a more resilient Los Angeles starts with addressing the needs of our most vulnerable populations and neighborhoods. Too often, those who are least equipped to handle the effects of catastrophic events end up suffering the most.",,,,https://toolkit.climate.gov/action-plan/los-angeles-ca-resilience-strategy,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-LOS-ANGELES-CA-RESILIENCE-STRATEGY-CA-2024
Community Example,"Managed Retreat at Surfer's Point, California",U.S. Climate Resilience Toolkit,Published case study,2010,California,Managed Retreat at Surfer's Point,town_or_city,Communities looking for comparable examples,Implementation,Climate Resilience; Erosion and Shoreline Recession; Flooding - Coastal,"Erosion has been a consistent problem at Surfer’s Point, a popular surfing spot in the City of Ventura, California, for more than 20 years. Multiple options were explored by city and nongovernmental groups, including the Surfrider Foundation.",,,,https://toolkit.climate.gov/case-study/managed-retreat-surfer%E2%80%99s-point-california,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-MANAGED-RETREAT-AT-SURFER-S-POINT-CALIFORNIA-CA-2010
Community Example,"Smart Growth Illustrated: The Crossings - Mountain View, California",EPA Examples of Smart Growth Communities and Projects,Published case study,,California,Mountain View,town_or_city,Communities looking for comparable examples,Implementation,Smart Growth Illustrated; smart growth principles; built environment; community design; Provide a variety of transportation choices; farmers markets; walkability; active transportation,"The Crossings, in the city of Mountain View, 30 miles south of San Francisco, transformed a failing 1960s mall into a vibrant neighborhood that offers a variety of transportation choices. The 18-acre infill project, developed by TPG Development, demolished the original shopping mall and replaced it with homes, retail shops, and a daycare center, all oriented toward the new San Antonio Avenue Caltrain commuter rail station.",,,,https://www.epa.gov/smartgrowth/provide-transportation-choices-crossings-mountain-view-california,2026-07-18,RERC-CASE-SMART-GROWTH-EXAMPLES-SMART-GROWTH-ILLUSTRATED-THE-CROSSINGS-MOUNTAIN-VIEW-CA
Community Example,A Road-Flooding Fix for a California State Park,U.S. Climate Resilience Toolkit,Published case study,2021,California,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,Climate Resilience; Flooding - Coastal; Flooding - Rainfall-induced; Transportation and Mobility,"Flooding from rain and extreme high tides often leaves the road to San Francisco's China Camp State Park inaccessible. So a diverse group of stakeholders, with support from NOAA's Science Collaborative team, proposed raising the road.",,,,https://toolkit.climate.gov/case-study/road-flooding-fix-california-state-park,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-A-ROAD-FLOODING-FIX-FOR-A-CALIFORNIA-STATE-PARK-CA-2021
Community Example,Climate-Smart Adaptation for the North-central California Coast and Ocean,U.S. Climate Resilience Toolkit,Published case study,2013,California,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,Climate Resilience,"The North-central California coast and ocean is a globally significant and extraordinarily productive marine and coastal ecosystem that boasts an array of local, state and federal protected areas and other managed lands. Despite this richness and attention to conservation, this region is still vulnerable to the effects of climate change.",,,,https://toolkit.climate.gov/case-study/climate-smart-adaptation-north-central-california-coast-and-ocean,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-CLIMATE-SMART-ADAPTATION-FOR-THE-NORTH-CENTRAL-CALIFORNIA-COAST-AND-OCEAN-CA-2013
Community Example,"Drought Response and Recovery Project for Water Utilities in North Marin Water District, CA",U.S. Climate Resilience Toolkit,Published case study,2022,California,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,Climate Resilience; Drought; Wildfire; Water Infrastructure - Drinking Water; Water Infrastructure - General,Environmental Protection Agency's storymap contains case studies and videos that describe the experiences of small and medium-sized drinking water utilities that successfully responded to drought. Explore the story of the North Marin Water District in California.,,,,https://toolkit.climate.gov/case-study/drought-response-and-recovery-project-water-utilities-north-marin-water-district-ca,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-DROUGHT-RESPONSE-AND-RECOVERY-PROJECT-FOR-WATER-UTILITIES-IN-NORTH-MARIN-WATER-DISTRICT
Community Example,"Drought Response and Recovery Project for Water Utilities in Tuolumne Utilities District, CA",U.S. Climate Resilience Toolkit,Published case study,2022,California,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,Climate Resilience; Drought; Agriculture and Food Supply; Water Infrastructure - General,"Environmental Protection Agency's storymap contains case studies and videos that describe the experiences of small and medium-sized drinking water utilities that successfully responded to drought. Explore the story of Tuolumne Utilities District, CA.",,,,https://toolkit.climate.gov/case-study/drought-response-and-recovery-project-water-utilities-tuolumne-utilities-district-ca,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-DROUGHT-RESPONSE-AND-RECOVERY-PROJECT-FOR-WATER-UTILITIES-IN-TUOLUMNE-UTILITIES-DISTRICT
Community Example,How New Battery Capacity Helped California Avoid Another Blackout,U.S. Climate Resilience Toolkit,Published case study,2023,California,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,Climate Resilience; Extreme Heat; Energy and Utilities,"New battery capacity in the form of battery energy storage (BES) units was a key difference-maker that contributed, along with demand response, to preventing blackouts during California's extreme heatwave in September 2022.",,,,https://toolkit.climate.gov/case-study/how-new-battery-capacity-helped-california-avoid-another-blackout,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-HOW-NEW-BATTERY-CAPACITY-HELPED-CALIFORNIA-AVOID-ANOTHER-BLACKOUT-CA-2023
Community Example,"Smart Growth Illustrated: Hismen Hin-Nu Terrace - Oakland, California",EPA Examples of Smart Growth Communities and Projects,Published case study,,California,Oakland,town_or_city,Communities looking for comparable examples,Implementation,Smart Growth Illustrated; smart growth principles; built environment; community design; farmers markets; walkability; transit-oriented development; housing choice,"Hismen Hin-Nu Terrace is a 1.5 acre, mixed-use development in Oakland’s San Antonio district. The San Antonio Community Development Corporation, East Bay Asian Local Development Corporation, and Oakland Redevelopment Agency worked together to redevelop an abandoned grocery store site in a distressed area.",,,,https://www.epa.gov/smartgrowth/create-range-housing-choices-case-study-hismen-hin-nu-terrace-oakland-california,2026-07-18,RERC-CASE-SMART-GROWTH-EXAMPLES-SMART-GROWTH-ILLUSTRATED-HISMEN-HIN-NU-TERRACE-OAKLAND-CA
Community Example,"Quincy, California (2022)",Recreation Economy for Rural Communities,Planning assistance example,2022,California,Quincy,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; trails and active transportation; climate resilience; small business development; housing access; equitable access; public health,"In 2022, Quincy, California received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, trails and active transportation. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-QUINCY-CA-2022
Community Example,"Redding, California Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2020,California,Redding,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Healthy Food Access; Walkability,"In 2020, Redding, California used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2020-05/documents/2020_lflp6_summary_report.pdf,2026-07-18,RERC-CASE-LFLP-REDDING-CA-2020-EPA-SUMMARY-REPORT
Community Example,Citizen Science for Monarch Monitoring,U.S. Climate Resilience Toolkit,Published case study,2021,California,Saline Valley,town_or_city,Communities looking for comparable examples,Implementation,"Climate Resilience; Changing Seasons; Shifting Species, Habitats, and Ecosystems; Natural Areas and Wildlife",The Saline Valley Monarch Count (SVMC) is a citizen science effort formed to continue monitoring the monarch population at this unique overwintering site. Their work provides insights about monarch migration that will lead to a greater understanding of monarch population and migration dynamics.,,,,https://toolkit.climate.gov/case-study/citizen-science-monarch-monitoring,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-CITIZEN-SCIENCE-FOR-MONARCH-MONITORING-CA-2021
Community Example,"Smart Growth Illustrated: Barrio Logan - San Diego, California",EPA Examples of Smart Growth Communities and Projects,Published case study,,California,San Diego,town_or_city,Communities looking for comparable examples,Implementation,Smart Growth Illustrated; smart growth principles; built environment; community design; farmers markets; downtown revitalization; transit-oriented development; housing choice,"The Barrio Logan neighborhood, a predominantly low-income industrial and residential community 2 miles from downtown San Diego, is separated from the rest of the city by an interstate highway. In the past, adjacent port and industrial facilities discouraged non-industrial development in the community.",,,,https://www.epa.gov/smartgrowth/encourage-community-and-stakeholder-collaboration-barrio-logan-san-diego-california,2026-07-18,RERC-CASE-SMART-GROWTH-EXAMPLES-SMART-GROWTH-ILLUSTRATED-BARRIO-LOGAN-SAN-DIEGO-CA
Community Example,"Smart Growth Illustrated: Uptown District - San Diego, California",EPA Examples of Smart Growth Communities and Projects,Published case study,,California,San Diego,town_or_city,Communities looking for comparable examples,Implementation,Smart Growth Illustrated; smart growth principles; built environment; community design; walkability; active transportation; transit-oriented development; housing choice,"San Diego, California's Uptown District shows how redeveloping underused or vacant retail centers known as ""greyfields"" can help revive and reconnect communities. This 14-acre mixed-use development in the Hillcrest neighborhood was built on the site of an abandoned department store and parking lot.",,,,https://www.epa.gov/smartgrowth/direct-development-towards-existing-communities-uptown-district-san-diego-california,2026-07-18,RERC-CASE-SMART-GROWTH-EXAMPLES-SMART-GROWTH-ILLUSTRATED-UPTOWN-DISTRICT-SAN-DIEGO-CA
Community Example,"Smart Growth Illustrated: Compact Development Endorsement Program - San Francisco, California",EPA Examples of Smart Growth Communities and Projects,Published case study,,California,San Francisco,town_or_city,Communities looking for comparable examples,Implementation,Smart Growth Illustrated; smart growth principles; built environment; community design; urban agriculture; farmers markets; downtown revitalization; housing choice,"Developers trying to build smart growth developments in the San Francisco Bay Area have an unusual ally: a conservation organization called the Greenbelt Alliance . The alliance works to help level the regulatory playing field, which is tilted against smart growth in many communities.",,,,https://www.epa.gov/smartgrowth/make-development-decisions-predictable-and-fair-compact-development-endorsement-program,2026-07-18,RERC-CASE-SMART-GROWTH-EXAMPLES-SMART-GROWTH-ILLUSTRATED-COMPACT-DEVELOPMENT-ENDORSEMENT-PROGRAM-SAN-FRANCISCO-CA
Community Example,"Adapting to Rising Tides in San Francisco Bay, California",U.S. Climate Resilience Toolkit,Published case study,2010,California,San Francisco Bay Area,county_or_region,Communities looking for comparable examples,Implementation,Climate Resilience; Flooding - Coastal; Flooding - General,"As one of the largest and most developed estuaries in North America, San Francisco Bay is under increasing pressure to plan for sea level rise. Anticipated sea level rise ranges from 20 to 55 inches along the California coast.",,,,https://toolkit.climate.gov/case-study/adapting-rising-tides-san-francisco-bay-california,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-ADAPTING-TO-RISING-TIDES-IN-SAN-FRANCISCO-BAY-CALIFORNIA-CA-2010
Community Example,"California State Coastal Conservancy: Gravel Beach and Berm for Shorebird Habitat Creation, Erosion Control and Flood Protection",U.S. Climate Resilience Toolkit,Published case study,2022,California,San Francisco Bay shoreline,county_or_region,Communities looking for comparable examples,Implementation,Climate Resilience; Flooding - Coastal; Natural Areas and Wildlife,"An adaptive management plan was used in a pilot project to design a 300-foot, nature-based feature. The approach included designing and implementing a robust monitoring protocol to assess site feasibility and eventually scale the project from a 300-foot feature to a one-mile feature.",,,,https://toolkit.climate.gov/case-study/california-state-coastal-conservancy-gravel-beach-and-berm-shorebird-habitat-creation,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-CALIFORNIA-STATE-COASTAL-CONSERVANCY-GRAVEL-BEACH-AND-BERM-FOR-SHOREBIRD-HABITAT-CREATIO
Community Example,"Ukiah, California Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2017,California,Ukiah,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Commercial Kitchen; Brownfields Reuse,"In 2017, Ukiah, California used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2017-04/documents/lflp_partners_report_2017.pdf,2026-07-18,RERC-CASE-LFLP-UKIAH-CA-2017-EPA-SUMMARY-REPORT
Community Example,"Yreka, California (2022)",Recreation Economy for Rural Communities,Planning assistance example,2022,California,Yreka,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; small business development; public health,"In 2022, Yreka, California received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, small business development. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-YREKA-CA-2022
Community Example,"Alamosa, Colorado Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2017,Colorado,Alamosa,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Farmers Market,"In 2017, Alamosa, Colorado used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2017-04/documents/lflp_partners_report_2017.pdf,2026-07-18,RERC-CASE-LFLP-ALAMOSA-CO-2017-EPA-SUMMARY-REPORT
Community Example,"Smart Growth Illustrated: Benedict Commons - Aspen, Colorado",EPA Examples of Smart Growth Communities and Projects,Published case study,,Colorado,Aspen,town_or_city,Communities looking for comparable examples,Implementation,Smart Growth Illustrated; smart growth principles; built environment; community design; downtown revitalization; walkability; housing choice; affordable housing,"Benedict Commons is a green, affordable housing option in high-cost Aspen, Colorado. The community was designed for residents earning approximately $17,000 to $38,000 per year.",,,,https://www.epa.gov/smartgrowth/create-range-housing-choices-case-study-benedict-commons-aspen-colorado,2026-07-18,RERC-CASE-SMART-GROWTH-EXAMPLES-SMART-GROWTH-ILLUSTRATED-BENEDICT-COMMONS-ASPEN-CO
Community Example,"Aurora, CO: Flying High Again",EPA Brownfields Success Stories,Published case study,2018,Colorado,Aurora,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization; EPA Revolving Loan Funds,"Brownfields Success Story Flying High Again Aurora, Colorado In the early 1950s, a former Navy test pilot named Robert M. Stanley was searching for a new home for Stanley Aviation.",,,,https://www.epa.gov/brownfields/aurora-co-flying-high-again,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-AURORA-CO-FLYING-HIGH-AGAIN-CO-2018
Community Example,"Smart Growth Illustrated: Eighth and Pearl - Boulder, Colorado",EPA Examples of Smart Growth Communities and Projects,Published case study,,Colorado,Boulder,town_or_city,Communities looking for comparable examples,Implementation,Smart Growth Illustrated; smart growth principles; built environment; community design; Mix land uses; main street revitalization; walkability; transit-oriented development,"The Eighth and Pearl development shows how mixed-use projects can succeed on small parcels of land. Nestled between the pre-World War II Main Street district and adjacent historic residential buildings, the project supports stores, second-story offices, and five town homes on the roughly half-acre site of a former gas station.",,,,https://www.epa.gov/smartgrowth/mix-land-uses-eighth-pearl-boulder-colorado,2026-07-18,RERC-CASE-SMART-GROWTH-EXAMPLES-SMART-GROWTH-ILLUSTRATED-EIGHTH-AND-PEARL-BOULDER-CO
Community Example,RestoreNet: Collaboration to Improve Success of Seed-Based Restoration on the Colorado Plateau,U.S. Climate Resilience Toolkit,Published case study,2022,Colorado,Colorado Plateau,town_or_city,Communities looking for comparable examples,Implementation,Climate Resilience; Changing Seasons; Drought; Erosion and Shoreline Recession; Multiple or All Hazards; Natural Areas and Wildlife,"RestoreNet tests the effectiveness of different combinations of restoration treatments and seeded plant species in a small scale, low risk environment.",,,,https://toolkit.climate.gov/case-study/restorenet-collaboration-improve-success-seed-based-restoration-colorado-plateau,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-RESTORENET-COLLABORATION-TO-IMPROVE-SUCCESS-OF-SEED-BASED-RESTORATION-ON-THE-COLORADO-PL
Community Example,"Denver, Colorado Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2016,Colorado,Denver,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Food Education; Action Planning; Economic Development,"In 2016, Denver, Colorado used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2017-04/documents/lflp_summary_report_update_2016-17.pdf,2026-07-18,RERC-CASE-LFLP-DENVER-CO-2016-EPA-SUMMARY-REPORT
Community Example,"Smart Growth Illustrated: Highlands' Garden Village - Denver, Colorado",EPA Examples of Smart Growth Communities and Projects,Published case study,,Colorado,Denver,town_or_city,Communities looking for comparable examples,Implementation,Smart Growth Illustrated; smart growth principles; built environment; community design; Take advantage of compact building design; urban agriculture; farmers markets; downtown revitalization,"Highlands' Garden Village is a compact, mixed-use, infill community built on the site of a former amusement park near downtown Denver. The site was abandoned when the Elitch Gardens Amusement Park relocated to Denver in late 1994.",,,,https://www.epa.gov/smartgrowth/take-advantage-compact-building-design-highlands-garden-village-denver-colorado,2026-07-18,RERC-CASE-SMART-GROWTH-EXAMPLES-SMART-GROWTH-ILLUSTRATED-HIGHLANDS-GARDEN-VILLAGE-DENVER-CO
Community Example,"Greeley, Colorado Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2016,Colorado,Greeley,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Healthy Food Access; Entrepreneurship; Economic Development,"In 2016, Greeley, Colorado used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2017-04/documents/lflp_summary_report_update_2016-17.pdf,2026-07-18,RERC-CASE-LFLP-GREELEY-CO-2016-EPA-SUMMARY-REPORT
Community Example,"Lakewood, CO: Housing and the Arts at Lamar Street Station",EPA Brownfields Success Stories,Published case study,2015,Colorado,Lakewood,town_or_city,Communities looking for comparable examples,Cleanup,Brownfields; Land Revitalization,"Brownfields Success Story Housing and the Arts at Lamar Street Station Lakewood, Colorado This colorful mural by Bobby MaGee Lopez Just 15 minutes outside downtown Denver, a renaissance is underway. called “Hear the Rail a Hummin’” welcomes The pioneering spirit that once drove early settlers to explore the western visitors to Lamar Station.",,,,https://www.epa.gov/sites/default/files/2015-09/documents/lakewood_co.pdf,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-LAKEWOOD-CO-HOUSING-AND-THE-ARTS-AT-LAMAR-STREET-STATION-CO-2015
Community Example,"Monte Vista, Colorado (2022)",Recreation Economy for Rural Communities,Planning assistance example,2022,Colorado,Monte Vista,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; small business development; equitable access; tourism and destination management,"In 2022, Monte Vista, Colorado received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, small business development. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-MONTE-VISTA-CO-2022
Community Example,A New Generation of Water Planners Confronts Change Along the Colorado River,U.S. Climate Resilience Toolkit,Published case study,2016,Colorado,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,Climate Resilience; Drought; Water Infrastructure - General,"Reduced flows and increased demand for Colorado River water represent a real and present danger in the West. To address the threat, water managers and modelers initiated a study to understand the system, consider options, and take action.",,,,https://toolkit.climate.gov/case-study/new-generation-water-planners-confronts-change-along-colorado-river,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-A-NEW-GENERATION-OF-WATER-PLANNERS-CONFRONTS-CHANGE-ALONG-THE-COLORADO-RIVER-CO-2016
Community Example,Charting Colorado's Vulnerability to Climate Change,U.S. Climate Resilience Toolkit,Published case study,2015,Colorado,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,Climate Resilience; Multiple or All Hazards; Multiple or All Assets,"Responding to growing awareness of climate change impacts, the State of Colorado commissioned two of its universities to complete an initial study of the state's vulnerabilities.",,,,https://toolkit.climate.gov/case-study/charting-colorado%E2%80%99s-vulnerability-climate-change,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-CHARTING-COLORADO-S-VULNERABILITY-TO-CLIMATE-CHANGE-CO-2015
Community Example,West-Wide Climate Risk Assessments: Irrigation Demand and Reservoir Evaporation Projections,U.S. Climate Resilience Toolkit,Published case study,2021,Colorado,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,Climate Resilience; Drought; Agriculture and Food Supply; Water Infrastructure - General,"In order to better understand the future of the water supply, the Bureau of Reclamation conducted a survey of eight major river basins and twelve reservoirs in the western United States as part of Reclamation's West-Wide Climate Risk Assessments project.",,,,https://toolkit.climate.gov/case-study/west-wide-climate-risk-assessments-irrigation-demand-and-reservoir-evaporation,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-WEST-WIDE-CLIMATE-RISK-ASSESSMENTS-IRRIGATION-DEMAND-AND-RESERVOIR-EVAPORATION-PROJECTIO
