item_id,item_type,title,organization,status,last_checked,geography,eligible_users,project_stage,topic_tags,support_type,amount_or_cost,match_or_cost,deadline_or_availability,summary,why_it_matters
RERC-FND-0299,Funding,Business Energy Services,NV Energy PowerShift,Open when checked,2026-06-09,Nevada,NV Energy business customers and Nevada 501(c)(3) nonprofits,Implementation,"energy efficiency, commercial buildings, nonprofit facilities",Rebate,"Varies by equipment, retrofit, new construction, nonprofit grant",Program rules and preapproval may apply,"Ongoing, subject to program funds","Lowers costs for rural tourism businesses, nonprofits, visitor centers, kitchens, lodging, and recreation facilities.","Lowers costs for rural tourism businesses, nonprofits, visitor centers, kitchens, lodging, and recreation facilities"
RERC-FND-0302,Funding,Conserve Nevada Program,Nevada Department of Conservation and Natural Resources,Recurring,2026-06-09,Nevada,"Nonprofits, local and county governments, agencies",Mixed,"conservation, outdoor recreation, land acquisition, trails, historic resources",Grant,"Approximately $10,000,000 in 2026 NOFO",Varies by NOFO,"2026 deadline March 6, 2026; awards beginning spring 2026",Major second-pass source for conservation and outdoor recreation projects beyond standard parks grants.,Major second-pass source for conservation and outdoor recreation projects beyond standard parks grants
RERC-FND-0301,Funding,Conservation Education and Outreach Grant,Nevada Division of Forestry,Cycle closed,2026-07-13,Nevada,Community and conservation education applicants per instructions,Mixed,"conservation education, watershed, forest, range, outreach",Grant,Not stated on source page,Not stated on source page,The 2026 application period is closed.,Small grants for conservation education and outreach in Nevada.,Supports stewardship education that protects public lands and improves visitor behavior in recreation communities
RERC-FND-0305,Funding,Nevada Outdoor Education and Recreation Grant,Nevada Division of Outdoor Recreation,Recurring,2026-06-09,Nevada,"Public agencies, nonprofits, schools, tribes, community-based entities",Mixed,"outdoor education, youth access, equity, recreation programming",Grant,"Tier I up to $7,500; Tier II $7,501-$50,000; $250,000 annually for 2026 and 2027",No match required; match encouraged,"2026 closed Oct. 3, 2025; check summer 2026 for 2027 cycle",Funds outdoor access programming that builds future recreation participation and community stewardship.,Funds outdoor access programming that builds future recreation participation and community stewardship
RERC-FND-0306,Funding,Nevada Outdoor Education and Recreation Grants,Nevada Division of Outdoor Recreation,Recurring,2026-06-09,Nevada,Local governments; tribes; nonprofits; schools; recreation partners,Mixed,outdoor education; recreation access; stewardship; local capacity,Grant,"Up to $7,500 or $50,000 depending track in recent cycle",No match shown for recent cycle,Next round expected summer 2026 per program information,"Builds outdoor recreation participation, stewardship, and community capacity.","Builds outdoor recreation participation, stewardship, and community capacity."
RERC-FND-0303,Funding,Lake Tahoe License Plate Program Grants,Nevada Division of State Lands,Recurring,2026-06-09,Nevada,Public agencies and nonprofit organizations,Implementation,"Tahoe restoration, water quality, state park improvements, public education",Grant,"About $800,000 annually; $1,200,000 awarded in 2026",Varies by grant procedures,"Annual; 2026 awardees announced March 13, 2026",Funds recreation-resource protection and access improvements in a major outdoor tourism region.,Funds recreation-resource protection and access improvements in a major outdoor tourism region
RERC-FND-0309,Funding,Recreational Trails Program,Nevada Division of State Parks,Recurring,2026-06-09,Nevada,Government agencies; nonprofits; tribes; trail groups,Mixed,trails; motorized and non-motorized recreation; trailheads,Grant,Varies by annual federal allocation,Usually 20% match,Annual cycle,Directly funds trail infrastructure for rural recreation economies.,Directly funds trail infrastructure for rural recreation economies.
RERC-FND-0310,Funding,Rural Marketing Grants,"Nevada Division of Tourism, Travel Nevada",Recurring,2026-06-09,Nevada,Rural destination marketing organizations; chambers; local tourism partners,Implementation,tourism marketing; rural events; destination promotion,Grant,Varies by cycle,Match required; verify current guidelines,FY27 cycle recently closed; annual program,"Helps rural recreation communities reach visitors for trails, parks, heritage routes, and events.","Helps rural recreation communities reach visitors for trails, parks, heritage routes, and events."
RERC-FND-0300,Funding,Community Development Block Grant Program,Nevada Governor's Office of Economic Development,Recurring,2026-06-09,Nevada,"Non-entitlement counties, cities, towns, tribes per CDBG rules",Mixed,rural infrastructure; public facilities; planning; economic development,Grant,Varies by HUD allocation,Match varies,Annual state cycle,Funds basic infrastructure and planning needed before recreation-driven growth.,Funds basic infrastructure and planning needed before recreation-driven growth.
RERC-FND-0307,Funding,Nevada State Small Business Credit Initiative,Nevada Governor’s Office of Economic Development,Open when checked,2026-06-09,Nevada,Nevada small businesses through program partners,Mixed,"small business, working capital, equipment, underserved entrepreneurs",Loan,"Battle Born Growth microloans up to $250,000",Private or partner capital depending on product,Rolling through SSBCI partner programs,"Can finance outdoor businesses, guide operations, recreation manufacturers, rural food, retail, and lodging.","Can finance outdoor businesses, guide operations, recreation manufacturers, rural food, retail, and lodging"
RERC-FND-0304,Funding,Nevada Off-Highway Vehicles Grant Program,"Nevada OHV Program, DCNR",Recurring,2026-06-09,Nevada,"OHV clubs, nonprofits, law enforcement, federal, state, local governments, community groups",Mixed,"OHV trails, signage, mapping, safety, conservation",Grant,"About $1,000,000 in annual cycle funding",Match not clearly stated on source page,2026 cycle announced April 2026; annual grant cycle,"Distinct from RTP; funds trail maintenance, stewardship, mapping, and tourism infrastructure for motorized recreation.","Distinct from RTP; funds trail maintenance, stewardship, mapping, and tourism infrastructure for motorized recreation"
RERC-FND-0324,Funding,State Conservation Committee Moose Plate Grants,NH State Conservation Committee,Recurring,2026-06-09,New Hampshire,"County conservation districts, municipalities, nonprofits, schools, conservation entities",Mixed,"land conservation, water, wildlife habitat, flood reduction, BMPs",Grant,Varies,Varies,Awards announced Dec. 2025; funding available July 2026 for that cycle,"Supports land protection, habitat, and watershed projects that keep recreation landscapes healthy.","Supports land protection, habitat, and watershed projects that keep recreation landscapes healthy"
RERC-FND-0317,Funding,NHSaves Commercial and Municipal Programs,NHSaves utility partners,Open when checked,2026-06-09,New Hampshire,"Nonresidential customers of Eversource, Liberty, NHEC, and Unitil",Implementation,"commercial efficiency, municipal buildings, foodservice equipment",Rebate,"Varies; commercial foodservice incentives up to $3,000 on qualifying equipment",Program rules apply,"2026 program year; some forms due Jan. 30, 2027","Lowers operating costs for restaurants, lodges, municipal facilities, and visitor-serving businesses.","Lowers operating costs for restaurants, lodges, municipal facilities, and visitor-serving businesses"
RERC-FND-0323,Funding,Small Business Energy Solutions,NHSaves utility partners,Open when checked,2026-06-09,New Hampshire,Small businesses and municipal customers served by NH utilities,Mixed,"lighting, HVAC, refrigeration, small business retrofits",Rebate,"Up to $6,000 in rebates on overall improvement costs",Customer share varies,Ongoing,"Main Street foodservice, lodging, and visitor businesses can fund basic retrofits.","Main Street foodservice, lodging, and visitor businesses can fund basic retrofits."
RERC-FND-0318,Funding,Neil and Louise Tillotson Fund Grants,New Hampshire Charitable Foundation,Open when checked,2026-06-09,New Hampshire,"Nonprofits, public entities, and eligible community partners",Mixed,"sustainable community development, economic development, North Country",Grant,"Local grants $20,000 or less; large grants $20,000-$300,000; DASH small grants rolling",Varies,2026 local deadlines Jan. 22 and July 16; large grants rolling until Oct. 15; DASH rolling until Dec. 3,"Strong fit for North Country recreation economy, community hubs, local food, stewardship, and tourism-adjacent capacity.","Strong fit for North Country recreation economy, community hubs, local food, stewardship, and tourism-adjacent capacity"
RERC-FND-0321,Funding,Responsive Grants,New Hampshire Charitable Foundation,Open when checked,2026-06-09,New Hampshire,Eligible nonprofits benefiting New Hampshire communities,Mixed,community needs; environment; arts; civic health; economic security,Grant,"Up to $10,000",No match stated,"Opened March 9, 2026; rolling until funds allocated","Flexible support can cover planning, operations, arts, environment, and community projects in rural recreation towns.","Flexible support can cover planning, operations, arts, environment, and community projects in rural recreation towns."
RERC-FND-0322,Funding,Responsive Grants Program,New Hampshire Charitable Foundation,Open when checked,2026-06-09,New Hampshire,Eligible nonprofits serving NH and select border communities,Mixed,"community need, environment, economic security, civic health",Grant,"Up to $10,000",None stated,"Rolling beginning March 9, 2026, until funds allocated","Flexible support for small nonprofit projects tied to trail towns, stewardship, community amenities, and rural quality of life.","Flexible support for small nonprofit projects tied to trail towns, stewardship, community amenities, and rural quality of life"
RERC-FND-0311,Funding,CDFA Clean Energy Fund,New Hampshire Community Development Finance Authority,Open when checked,2026-06-09,New Hampshire,"New Hampshire businesses, nonprofits, municipalities",Implementation,"energy efficiency, renewable energy, EV charging, resilience",Loan,"Capitalized at over $9,000,000; loan size varies",Loan underwriting applies,"Rolling Jan. 1-Dec. 31, 2026, until funds expended",Helps rural businesses and community facilities reduce costs and finance clean-energy upgrades.,Helps rural businesses and community facilities reduce costs and finance clean-energy upgrades
RERC-FND-0312,Funding,CDFA Predevelopment Loan Program,New Hampshire Community Development Finance Authority,Open when checked,2026-06-09,New Hampshire,Municipalities and nonprofit organizations,Mixed,"feasibility, building reuse, business planning, zoning, project readiness",Loan,"Up to $100,000",Loan underwriting applies,"Rolling Jan. 1-Dec. 31, 2026, until funds expended","Useful for early feasibility and planning for trail centers, community hubs, historic reuse, and visitor infrastructure.","Useful for early feasibility and planning for trail centers, community hubs, historic reuse, and visitor infrastructure"
RERC-FND-0313,Funding,CDFA Tax Credit Program,New Hampshire Community Development Finance Authority,Recurring,2026-06-09,New Hampshire,Nonprofits; municipalities; community development organizations,Mixed,downtown revitalization; community facilities; economic development,Tax Credit,Varies by awarded tax credits,Private donor purchase; project leverage expected,Annual application cycle,"Helps finance community anchors, visitor-serving facilities, and revitalization projects.","Helps finance community anchors, visitor-serving facilities, and revitalization projects."
RERC-FND-0315,Funding,Community Development Block Grant,New Hampshire Community Development Finance Authority,Recurring,2026-06-09,New Hampshire,Municipalities; counties; nonprofits through public sponsor,Mixed,public facilities; downtowns; housing; economic development; planning,Grant,Varies by CDBG category,Match varies,Posted CDFA annual deadlines,Supports infrastructure and community facilities that recreation towns need.,Supports infrastructure and community facilities that recreation towns need.
RERC-FND-0325,Funding,Transportation Alternatives Program,New Hampshire DOT,Recurring,2026-06-09,New Hampshire,Local/public sponsors through the NHDOT Local Public Agency process,Mixed,Infrastructure; Recreation; Energy/Climate,Grant,"Up to 80% federal funds / 20% local match; most recent round cited a $400,000 minimum project size and $1,000,000 maximum","Yes, 20% local match",Check with the program,"Pedestrian and bicycle facilities, non-driver access, environmental mitigation, recreational-trail-related alternatives, and safe-routes-style improvements.",May support rural community goals related to infrastructure and recreation. Confirm current eligibility and project fit with the program.
RERC-FND-0319,Funding,Outdoor Recreation Grant Program,New Hampshire Department of Business and Economic Affairs,Recurring,2026-06-09,New Hampshire,"State/local governments, regional authorities, 501(c)(3) nonprofits, and federally recognized tribes in eligible NBRC areas",Construction,Recreation; Economic Development; Energy/Climate,Grant,"Umbrella term, covers many grants ranging from $500-$20,000","Yes, 1:1",Check with the program,Outdoor-recreation-related economic development and community investment.,May support rural community goals related to recreation and economic development. Confirm current eligibility and project fit with the program.
RERC-FND-0316,Funding,LCHIP Grants,New Hampshire Land and Community Heritage Investment Program,Recurring,2026-06-09,New Hampshire,Municipalities; nonprofits; eligible conservation and preservation entities,Acquisition,land conservation; historic preservation; heritage tourism,Grant,Varies; program has awarded tens of millions statewide,Match required,Annual grant cycle,Protects landscapes and historic assets that define rural recreation destinations.,Protects landscapes and historic assets that define rural recreation destinations.
RERC-FND-0320,Funding,Recreational Trails Program,New Hampshire State Parks,Recurring,2026-06-09,New Hampshire,Trail project sponsors through NH Bureau of Trails and related public/nonprofit partners,Construction,Recreation; Energy/Climate,Grant,Varies by project; federal RTP awards are issued annually through the state,Yes,Check with the program,"Development and maintenance of recreational trails, trail education, and related projects.",May support rural community goals related to recreation and energy and climate. Confirm current eligibility and project fit with the program.
RERC-FND-0314,Funding,Catalyst Program,Northern Border Regional Commission,Recurring,2026-06-09,New Hampshire,"State government, Local governments, Secondary and career technical centers, Other political subdivisions of States, Non-profit entities, & Indian Tribes",Mixed,Economic Development,Grant,"Up to $500,000 to $5M depending on grant","Yes, varies",Check with the program,Stimulates economic growth and inspires partnerships that improve rural economic vitality.,May support rural community goals related to economic development. Confirm current eligibility and project fit with the program.
RERC-FND-0328,Funding,Community Energy Plan and Implementation Grants,New Jersey Board of Public Utilities,Recurring,2026-06-09,New Jersey,New Jersey municipalities,Mixed,"municipal energy planning, clean energy projects, resilience",Grant,"CEPG $10,000 or $25,000; CEPI up to $250,000",Per program rules,Recurring NJBPU rounds,Rural and shore communities can plan and implement energy projects tied to visitor infrastructure.,Rural and shore communities can plan and implement energy projects tied to visitor infrastructure.
RERC-FND-0327,Funding,Clean Fleet EV Program,"New Jersey Clean Energy Program, Board of Public Utilities",Cycle closed,2026-07-13,New Jersey,"Local, state, and nonprofit fleet entities",Implementation,"EV fleets, charging, public agencies, nonprofits",Rebate,"Up to $4,000 for light-duty BEVs; up to $10,000 for Class 2B-6 BEVs; charger incentives available",Program rules apply,"The listed fiscal-year period ended June 30, 2026.","Supports shuttle, maintenance, parks, and visitor-service fleets for recreation and tourism destinations.","Supports shuttle, maintenance, parks, and visitor-service fleets for recreation and tourism destinations"
RERC-FND-0332,Funding,Transportation Alternatives Set-Aside,New Jersey Department of Transportation,Recurring,2026-06-09,New Jersey,Municipalities; counties; transit agencies; eligible public sponsors,Mixed,bike-ped; trails; streetscape; safe routes; historic transport,Grant,Varies; recent awards often six to seven figures,Usually 20% local match unless otherwise specified,Periodic NJDOT local aid calls,"Improves active transportation links between downtowns, parks, trails, and transit.","Improves active transportation links between downtowns, parks, trails, and transit."
RERC-FND-0330,Funding,Preserve New Jersey Historic Preservation Fund,"New Jersey Historic Trust, NJ Department of Community Affairs",Recurring,2026-06-09,New Jersey,"County, municipal, state government entities; eligible 501(c) nonprofits",Mixed,"historic preservation, heritage tourism, planning, capital rehab",Grant,"Planning up to $75,000; capital $5,000-$750,000; about $10,000,000 expected in 2026",Planning 1:3; capital varies by level,"2026 deadline April 16, 2026 at 4:00 p.m.","Funds historic sites, heritage tourism signage, and adaptive reuse assets that support destination development.","Funds historic sites, heritage tourism signage, and adaptive reuse assets that support destination development"
RERC-FND-0329,Funding,New Jersey Historical Commission Grants,"New Jersey Historical Commission, Department of State",Recurring,2026-06-09,New Jersey,"History organizations, museums, historic sites, archives, libraries, individuals for some project grants",Mixed,"history, museums, historic sites, exhibits, archives, heritage programming",Grant,Varies by grant program,Program rules apply,"FY2027 project grant deadline March 27, 2026; GOS intent March 9 and submission April 13, 2026",Supports heritage assets and interpretation that can strengthen cultural tourism and downtown visitor activity.,Supports heritage assets and interpretation that can strengthen cultural tourism and downtown visitor activity
RERC-FND-0331,Funding,Sustainable Jersey Grants Program,Sustainable Jersey with corporate and state partners,Open when checked,2026-06-09,New Jersey,Municipalities; schools for school-specific rounds,Mixed,sustainability; parks; placemaking; resilience; green teams,Grant,Varies by sponsor cycle,Usually no match; verify cycle,Multiple 2026 grant cycles posted,Funds small but practical sustainability and placemaking projects in recreation communities.,Funds small but practical sustainability and placemaking projects in recreation communities.
RERC-FND-0326,Funding,2026 Sustainable Communities Grant Program,"Sustainable Jersey, Atlantic City Electric",Open when checked,2026-06-09,New Jersey,Municipalities in Atlantic City Electric service territory,Implementation,"environmental stewardship, resilience, sustainability",Grant,"$50,000 total cycle funding",Not stated on source page,"Deadline July 13, 2026 at 11:59 p.m.","Supports local resilience and stewardship improvements in shore, river, and gateway communities.","Supports local resilience and stewardship improvements in shore, river, and gateway communities"
RERC-FND-0336,Funding,McCune Charitable Foundation Grants,McCune Charitable Foundation,Recurring,2026-06-09,New Mexico,"501(c)(3) nonprofits, federally recognized Tribes, public schools, and government agencies",Mixed,rural development; environment; culture; community well-being; collaboration,Grant,Not stated on application page,No match stated,"2027 funding cycle opens Aug. 15, 2026 and closes Sept. 15, 2026","Useful for rural community capacity, collaborative outdoor-economy work, and environmental or cultural place-based projects.","Useful for rural community capacity, collaborative outdoor-economy work, and environmental or cultural place-based projects"
RERC-FND-0335,Funding,Efficient Buildings Program and Commercial Prescriptive Rebates,New Mexico Gas Company,Open when checked,2026-06-09,New Mexico,"Commercial, school, and business gas customers",Implementation,energy efficiency; operating cost reduction; commercial facilities,Rebate,Varies by measure,Customer pays remaining project cost,Ongoing 2026 program,"Helps visitor centers, lodges, restaurants, outfitters, and public facilities lower operating costs.","Helps visitor centers, lodges, restaurants, outfitters, and public facilities lower operating costs"
RERC-FND-0337,Funding,Outdoor Equity Fund,"New Mexico Outdoor Recreation Division, Economic Development Department",Open when checked,2026-06-09,New Mexico,Organizations serving youth outdoor programs; verify applicant class in guide,Implementation,outdoor access; youth; stewardship; outdoor workforce; equity,Grant,"Tier 1 generally up to $40,000; Tier 2 up to $100,000",See FY27 guide; summary page does not state match,"Tier 2 LOI June 1-12, 2026; FY27 cycle July 1-30, 2026","Funds rural, Tribal, and underserved youth outdoor access and can build future recreation workforce pipelines.","Funds rural, Tribal, and underserved youth outdoor access and can build future recreation workforce pipelines"
RERC-FND-0333,Funding,Clean and Beautiful Grant,New Mexico Tourism Department,Recurring,2026-06-09,New Mexico,Local governments; tribes; Keep America Beautiful affiliates; eligible partners,Mixed,beautification; litter control; gateways; public spaces,Grant,Program pool over $1M in recent cycle,See annual guidelines,Annual cycle; FY27 closed April 2026,Improves community appearance and visitor corridors in rural destinations.,Improves community appearance and visitor corridors in rural destinations
RERC-FND-0334,Funding,Destination Forward Grant,New Mexico Tourism Department,Recurring,2026-06-09,New Mexico,Tourism entities; local governments; tribes; eligible fiscal agents,Mixed,destination development; visitor infrastructure; planning,Grant,Varies by project,See annual guidelines,Annual cycle; FY27 closed April 2026,Supports destination readiness and visitor-facing improvements.,Supports destination readiness and visitor-facing improvements
RERC-FND-0339,Funding,Tourism Event Growth and Sustainability Program,New Mexico Tourism Department,Recurring,2026-06-09,New Mexico,Event organizers; nonprofits; municipalities; counties; tribes; eligible businesses,Implementation,events; tourism marketing; festivals; placemaking,Grant,"Accelerator often up to $5,000; sponsorship and marketing support vary",Cost share varies by track,Annual cycle; FY27 closed April 2026,Helps rural communities grow events that draw overnight visitors.,Helps rural communities grow events that draw overnight visitors
RERC-FND-0338,Funding,PNM Power Grant,PNM Resources Foundation,Recurring,2026-06-09,New Mexico,Eligible New Mexico nonprofits,Mixed,environment; economic vitality; community vitality; nonprofit capacity,Grant,Not stated publicly,Not stated,2026 grant cycle referenced; confirm current portal deadline,"Can support nonprofit capacity, environmental stewardship, and community vitality around outdoor destinations.","Can support nonprofit capacity, environmental stewardship, and community vitality around outdoor destinations"
RERC-FND-0345,Funding,Generous Acts Fund,Adirondack Community Foundation,Recurring,2026-06-09,New York,"Nonprofits, schools, public agencies, municipalities, or fiscally sponsored groups",Mixed,community vitality; environment; economic vitality; basic needs,Grant,"2026 cycle awarded $1,162,380 across 136 grants",Not stated,"2026 deadline was Feb. 4, 2026; annual cycle",Flexible regional funding can support community vitality and environment work in outdoor-destination towns.,Flexible regional funding can support community vitality and environment work in outdoor-destination towns
RERC-FND-0354,Funding,Ralph C. Wilson Jr. Legacy Funds,Community Foundation for Greater Buffalo,Recurring,2026-06-09,New York,501(c)(3) organizations; eligibility varies by fund,Implementation,community assets; parks; trails; youth recreation; quality of life,Grant,Not stated in FAQ summary,Not stated,"2026 awards distributed by May 31, 2026","Strong fit for parks, trails, and community recreation assets in western New York.","Strong fit for parks, trails, and community recreation assets in western New York"
RERC-FND-0347,Funding,Market New York,Empire State Development and I LOVE NY,Open when checked,2026-06-09,New York,Tourism promotion agencies; nonprofits; municipalities; businesses with tourism projects,Mixed,tourism promotion; events; destination marketing,Grant,"$7M available; minimum grant request generally $50,000",Typically 50 percent match,"Deadline July 31, 2026",Funds rural destination marketing and tourism events.,Funds rural destination marketing and tourism events
RERC-FND-0350,Funding,NYS Canal System Tourism Infrastructure and Event Grants,Erie Canalway National Heritage Corridor and NYS Canal Corporation,Recurring,2026-06-09,New York,"Counties, municipalities, local governments, nonprofits, and federally recognized Native nations",Construction,tourism infrastructure; amenities; events; accessibility; canal trail,Grant,"Infrastructure $5,000-$24,000; event support $500-$3,000",Not stated on summary page,2026 closed; check fall 2026 for 2027 support,"Targets trail, waterway, visitor amenity, and event gaps along a major recreation and heritage corridor.","Targets trail, waterway, visitor amenity, and event gaps along a major recreation and heritage corridor"
RERC-FND-0348,Funding,McHenry Community Planning and Compact Grants,Hudson River Valley Greenway,Recurring,2026-07-13,New York,Greenway municipalities and compact communities,Planning,planning; public access; heritage; trails; regional cooperation; economic development,Grant,"Community grants up to $20,000; multi-applicant up to $30,000; Compact grants up to $50,000",Not stated on summary page,The program uses recurring cycles; check with the program for the current schedule.,"Funds planning for waterfront access, trail links, heritage interpretation, and regional recreation-economy coordination.","Funds planning for waterfront access, trail links, heritage interpretation, and regional recreation-economy coordination"
RERC-FND-0340,Funding,Boating Infrastructure Grant Program,"NY State Parks, Recreation, and Historic Preservation",Recurring,2026-06-09,New York,"Applicants apply through NYS OPRHP for facilities serving transient, non-trailerable recreational vessels on navigable waters",Construction,Infrastructure; Recreation; Historic/Cultural; Energy/Climate,Grant,Maximum federal share $1.5 million per application for the cited Tier 2 round,"Yes, at least 25%",Check with the program,Develop and maintain tie-up facilities and related infrastructure for eligible transient recreational boats.,May support rural community goals related to infrastructure and recreation. Confirm current eligibility and project fit with the program.
RERC-FND-0346,Funding,Historic Preservation Program,"NY State Parks, Recreation, and Historic Preservation",Recurring,2026-06-09,New York,Municipalities or nonprofits with an ownership interest in eligible historic properties listed on the State or National Registers,Planning,Recreation; Planning; Historic/Cultural; Energy/Climate,Grant,"Up to $675,000; matching grant","Yes, 1:1",Check with the program,"Acquire, plan, develop, preserve, or improve historic properties.",May support rural community goals related to recreation and planning. Confirm current eligibility and project fit with the program.
RERC-FND-0353,Funding,Parks Program,"NY State Parks, Recreation, and Historic Preservation",Recurring,2026-06-09,New York,Municipalities or nonprofits with an ownership interest in the project property,Planning,Recreation; Planning; Historic/Cultural; Energy/Climate,Grant,"Up to $675,000; matching grant","Yes, amount varies based on program, typical a 50% or 10% match",Check with the program,"Acquire, plan, develop, or improve parks and recreational facilities.",May support rural community goals related to recreation and planning. Confirm current eligibility and project fit with the program.
RERC-FND-0355,Funding,Recreational Trails Program,"NY State Parks, Recreation, and Historic Preservation",Recurring,2026-06-09,New York,Trail project sponsors applying through OPRHP under RTP rules,Construction,Recreation; Historic/Cultural; Energy/Climate,Grant,Varies by annual federal RTP allocation; no public cap identified on the overview page,"Yes, 20%",Check with the program,Develop and maintain motorized and nonmotorized trails and trail-related facilities.,May support rural community goals related to recreation and historic and cultural. Confirm current eligibility and project fit with the program.
RERC-FND-0356,Funding,Snowmobile Trail Grant Program,"NY State Parks, Recreation, and Historic Preservation",Recurring,2026-06-09,New York,Local government sponsors with officially recognized state snowmobile trail system mileage,Construction,Recreation; Historic/Cultural; Energy/Climate,Grant,Prorated based on the approved trail system and funding application,No,Check with the program,Develop and maintain snowmobile trails in the State Snowmobile Trail System.,May support rural community goals related to recreation and historic and cultural. Confirm current eligibility and project fit with the program.
RERC-FND-0352,Funding,New York State Conservation Partnership Program,NYS Department of Environmental Conservation and Land Trust Alliance,Recurring,2026-06-09,New York,New York land trusts,Mixed,land trust capacity; open space; farmland; resource conservation,Grant,Varies by grant category,See program RFA,Annual rounds; confirm current Alliance schedule,"Builds land-trust capacity for conservation deals, stewardship, and public-access partnerships in recreation communities.","Builds land-trust capacity for conservation deals, stewardship, and public-access partnerships in recreation communities"
RERC-FND-0351,Funding,New York Main Street,NYS Homes and Community Renewal,Open when checked,2026-06-09,New York,Units of local government; nonprofits; business improvement districts,Construction,downtown buildings; mixed-use rehab; streetscape,Grant,"$4.2M available; awards commonly $50,000-$500,000",Local match required; state share limits apply,"Deadline July 31, 2026",Revitalizes main streets that serve as recreation visitor bases.,Revitalizes main streets that serve as recreation visitor bases
RERC-FND-0344,Funding,EPF Parks Preservation and Heritage Grants,NYS Office of Parks Recreation and Historic Preservation,Open when checked,2026-06-09,New York,Municipalities; nonprofits; state-recognized tribes,Mixed,parks; historic preservation; heritage tourism,Grant,"$28.75M available; max commonly $675,000",Match required; reduced match possible for hardship,"Deadline July 31, 2026",Funds parks and heritage assets central to rural recreation economies.,Funds parks and heritage assets central to rural recreation economies
RERC-FND-0342,Funding,Clean Energy Communities Program,NYSERDA,Open when checked,2026-06-09,New York,Local governments; counties; municipalities,Mixed,municipal energy; public buildings; EV readiness,Rebate,Designation grants vary by points and community type,No traditional match for many grants,Ongoing point-based awards,"Lowers operating costs for visitor centers, parks facilities, and downtown assets.","Lowers operating costs for visitor centers, parks facilities, and downtown assets"
RERC-FND-0341,Funding,Canalway Grants Program,New York State Canal Corporation,Open when checked,2026-06-09,New York,Municipalities; nonprofits; public entities,Mixed,canal towns; waterfronts; trails; heritage tourism,Grant,"$1M available; typical awards $25,000-$150,000",1:1 match commonly required,"Deadline July 31, 2026",Supports canal-trail communities and heritage recreation corridors.,Supports canal-trail communities and heritage recreation corridors
RERC-FND-0357,Funding,Source Water Buffer Program,New York State Department of Agriculture and Markets,Recurring,2026-06-09,New York,Soil and Water Conservation Districts apply on behalf of interested farmers; participating farm land must meet drinking-water proximity and AEM requirements,Mixed,Infrastructure; Economic Development; Conservation; Historic/Cultural,Grant,Approximately $5 million available; up to 75% cost share for perpetual or 50-year conservation easements,"Yes, 25%",Check with the program,Purchase conservation easements and establish or enhance riparian/forested buffers on farmland protecting public drinking water.,May support rural community goals related to infrastructure and economic development. Confirm current eligibility and project fit with the program.
RERC-FND-0343,Funding,Community Forest Conservation Grant Program,New York State Department of Environmental Conservation,Recurring,2026-06-09,New York,New York municipalities; property must be at least 10 acres and at least 75% forested,Construction,Infrastructure; Conservation; Energy/Climate,Grant,"$50,000-$300,000; 10% match required; $1 million available in the grant round","Yes, 10%",Check with the program,"Municipal land acquisition to create or expand community forests for habitat, water quality, resilience, and public access.",May support rural community goals related to infrastructure and conservation. Confirm current eligibility and project fit with the program.
RERC-FND-0358,Funding,Water Quality Improvement Program,New York State Department of Environmental Conservation,Recurring,2026-06-09,New York,Municipalities are eligible for all project types; Soil and Water Conservation Districts for most project types; nonprofits for selected categories,Construction,Infrastructure; Recreation; Conservation; Energy/Climate,Grant,At least $75 million available in the 2025 round; project awards vary by category,"Yes, 25%",Check with the program,"Protect drinking water, reduce HAB drivers, improve infrastructure, restore habitat, and increase climate resilience.",May support rural community goals related to infrastructure and recreation. Confirm current eligibility and project fit with the program.
RERC-FND-0349,Funding,NY Main Street,New York State Homes and Community Renewal,Recurring,2026-06-09,New York,Units of local government and nonprofit organizations incorporated under NY law; recipients then provide grants to local building owners,Construction,Infrastructure; Economic Development; Energy/Climate,Grant,"Varies; official program examples include $250,000 community grants",Yes,Check with the program,Downtown and mixed-use neighborhood commercial district revitalization through building rehab and related streetscape work.,May support rural community goals related to infrastructure and economic development. Confirm current eligibility and project fit with the program.
RERC-FND-0359,Funding,The Conservation Alliance Grants Program,The Conservation Alliance,Recurring,2026-06-09,North America,See program,Mixed,Infrastructure; Conservation,Grant,"Up to $100,000 depending on grant",See program,Check with the program,"To protect clean air, clean water, wild places, and watersheds.",May support rural community goals related to infrastructure and conservation. Confirm current eligibility and project fit with the program.
RERC-FND-0361,Funding,Cherokee Preservation Foundation Grants,Cherokee Preservation Foundation,Recurring,2026-06-09,North Carolina,Eligible organizations serving EBCI and western North Carolina priorities,Mixed,environmental preservation; cultural preservation; economic development; entrepreneurship,Grant,Varies,Not stated,Grant dates first Monday of June and December,"Supports natural environment protection, cultural tourism, entrepreneurship, and diversified rural economies.","Supports natural environment protection, cultural tourism, entrepreneurship, and diversified rural economies"
RERC-FND-0368,Funding,Pigeon River Fund,Community Foundation of Western North Carolina,Recurring,2026-06-09,North Carolina,Environmental nonprofits; public partners; conservation groups,Mixed,river access; water quality; habitat; conservation awareness,Grant,"Generally $5,000-$35,000",Leverage or in-kind resources expected,Recurring local foundation cycle,"Supports river access, watershed quality, and habitat projects tied to Blue Ridge rural recreation economies.","Supports river access, watershed quality, and habitat projects tied to Blue Ridge rural recreation economies."
